日期,SPU ID,展现数,点击数,点击率(%),花费,千次展现成本,平均点击成本,投产比,转化率(%),总订单金额
20260920,10026527524610,35,4,11.43,2.22,63.43,0.56,0.00,0.00,0.00
20260920,10026124119306,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10027460155333,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384428518,21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384403760,6,1,16.67,0.40,66.67,0.40,0.00,0.00,0.00
20260920,10026798172856,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10026793493326,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10029128476645,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025397788065,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10033701407346,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384394885,4,1,25.00,0.20,50.00,0.20,0.00,0.00,0.00
20260920,10025384386083,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384379700,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384373603,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384404371,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10026609913039,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384406727,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025397793054,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384410841,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025397806625,2533,126,4.97,311.64,123.03,2.47,5.69,9.52,1773.00
20260920,10025384397980,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384418318,15,3,20.00,0.82,54.67,0.27,0.00,0.00,0.00
20260920,10025939088316,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10028469168384,602,41,6.81,108.35,179.98,2.64,8.08,4.88,876.00
20260920,10025384421033,1,1,100.00,0.31,310.00,0.31,123.29,100.00,38.22
20260920,10025384403348,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10028005403878,20,4,20.00,1.07,53.50,0.27,0.00,0.00,0.00
20260920,10025384427835,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384362308,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384409258,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384408251,6,1,16.67,0.42,70.00,0.42,0.00,0.00,0.00
20260919,10030658427493,77,4,5.19,1.36,17.66,0.34,0.00,0.00,0.00
20260919,10026798172856,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10028133190363,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10028410805957,313,18,5.75,12.68,40.51,0.70,100.89,16.67,1279.24
20260919,10025384369305,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025397806625,3076,130,4.23,116.74,37.95,0.90,8.08,4.62,943.30
20260919,10025384418938,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384386083,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10026124119306,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384427835,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384418318,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10027091565546,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025939088316,5,1,20.00,0.21,42.00,0.21,0.00,0.00,0.00
